dataset,label_set,value,label_text
cap17,demo_sex,0,Male
cap17,demo_sex,1,Female
cap17,demo_truancy,0,0 days
cap17,demo_truancy,1,1-2 days
cap17,demo_truancy,2,3-5 days
cap17,demo_truancy,3,6-10 days
cap17,demo_truancy,4,10+ days
cap17,demo_grades,0,90-100%
cap17,demo_grades,1,80-89%
cap17,demo_grades,2,70-79%
cap17,demo_grades,3,60-69%
cap17,demo_grades,4,50-59%
cap17,demo_grades,5,49% and below
cap17,sx_surps_01,0,Strongly Disgaree
cap17,sx_surps_01,1,Disagree
cap17,sx_surps_01,2,Agree
cap17,sx_surps_01,3,Strongly Agree
cap17,sx_surps_01,999,Missing
cap17,sx_surps_02,0,Strongly Disgaree
cap17,sx_surps_02,1,Disagree
cap17,sx_surps_02,2,Agree
cap17,sx_surps_02,3,Strongly Agree
cap17,sx_surps_02,999,Missing
cap17,sx_surps_03,0,Strongly Disgaree
cap17,sx_surps_03,1,Disagree
cap17,sx_surps_03,2,Agree
cap17,sx_surps_03,3,Strongly Agree
cap17,sx_surps_03,999,Missing
cap17,sx_surps_04,0,Strongly Disgaree
cap17,sx_surps_04,1,Disagree
cap17,sx_surps_04,2,Agree
cap17,sx_surps_04,3,Strongly Agree
cap17,sx_surps_04,999,Missing
cap17,sx_surps_05,0,Strongly Disgaree
cap17,sx_surps_05,1,Disagree
cap17,sx_surps_05,2,Agree
cap17,sx_surps_05,3,Strongly Agree
cap17,sx_surps_05,999,Missing
cap17,sx_surps_06,0,Strongly Disgaree
cap17,sx_surps_06,1,Disagree
cap17,sx_surps_06,2,Agree
cap17,sx_surps_06,3,Strongly Agree
cap17,sx_surps_06,999,Missing
cap17,sx_surps_07,0,Strongly Disgaree
cap17,sx_surps_07,1,Disagree
cap17,sx_surps_07,2,Agree
cap17,sx_surps_07,3,Strongly Agree
cap17,sx_surps_07,999,Missing
cap17,sx_surps_08,0,Strongly Disgaree
cap17,sx_surps_08,1,Disagree
cap17,sx_surps_08,2,Agree
cap17,sx_surps_08,3,Strongly Agree
cap17,sx_surps_08,999,Missing
cap17,sx_surps_09,0,Strongly Disgaree
cap17,sx_surps_09,1,Disagree
cap17,sx_surps_09,2,Agree
cap17,sx_surps_09,3,Strongly Agree
cap17,sx_surps_09,999,Missing
cap17,sx_surps_10,0,Strongly Disgaree
cap17,sx_surps_10,1,Disagree
cap17,sx_surps_10,2,Agree
cap17,sx_surps_10,3,Strongly Agree
cap17,sx_surps_10,999,Missing
cap17,sx_surps_11,0,Strongly Disgaree
cap17,sx_surps_11,1,Disagree
cap17,sx_surps_11,2,Agree
cap17,sx_surps_11,3,Strongly Agree
cap17,sx_surps_11,999,Missing
cap17,sx_surps_12,0,Strongly Disgaree
cap17,sx_surps_12,1,Disagree
cap17,sx_surps_12,2,Agree
cap17,sx_surps_12,3,Strongly Agree
cap17,sx_surps_12,999,Missing
cap17,sx_surps_13,0,Strongly Disgaree
cap17,sx_surps_13,1,Disagree
cap17,sx_surps_13,2,Agree
cap17,sx_surps_13,3,Strongly Agree
cap17,sx_surps_13,999,Missing
cap17,sx_surps_14,0,Strongly Disgaree
cap17,sx_surps_14,1,Disagree
cap17,sx_surps_14,2,Agree
cap17,sx_surps_14,3,Strongly Agree
cap17,sx_surps_14,999,Missing
cap17,sx_surps_15,0,Strongly Disgaree
cap17,sx_surps_15,1,Disagree
cap17,sx_surps_15,2,Agree
cap17,sx_surps_15,3,Strongly Agree
cap17,sx_surps_15,999,Missing
cap17,sx_surps_16,0,Strongly Disgaree
cap17,sx_surps_16,1,Disagree
cap17,sx_surps_16,2,Agree
cap17,sx_surps_16,3,Strongly Agree
cap17,sx_surps_16,999,Missing
cap17,sx_surps_17,0,Strongly Disgaree
cap17,sx_surps_17,1,Disagree
cap17,sx_surps_17,2,Agree
cap17,sx_surps_17,3,Strongly Agree
cap17,sx_surps_17,999,Missing
cap17,sx_surps_18,0,Strongly Disgaree
cap17,sx_surps_18,1,Disagree
cap17,sx_surps_18,2,Agree
cap17,sx_surps_18,3,Strongly Agree
cap17,sx_surps_18,999,Missing
cap17,sx_surps_19,0,Strongly Disgaree
cap17,sx_surps_19,1,Disagree
cap17,sx_surps_19,2,Agree
cap17,sx_surps_19,3,Strongly Agree
cap17,sx_surps_19,999,Missing
cap17,sx_surps_20,0,Strongly Disgaree
cap17,sx_surps_20,1,Disagree
cap17,sx_surps_20,2,Agree
cap17,sx_surps_20,3,Strongly Agree
cap17,sx_surps_20,999,Missing
cap17,sx_surps_21,0,Strongly Disgaree
cap17,sx_surps_21,1,Disagree
cap17,sx_surps_21,2,Agree
cap17,sx_surps_21,3,Strongly Agree
cap17,sx_surps_21,999,Missing
cap17,sx_surps_22,0,Strongly Disgaree
cap17,sx_surps_22,1,Disagree
cap17,sx_surps_22,2,Agree
cap17,sx_surps_22,3,Strongly Agree
cap17,sx_surps_22,999,Missing
cap17,sx_surps_23,0,Strongly Disgaree
cap17,sx_surps_23,1,Disagree
cap17,sx_surps_23,2,Agree
cap17,sx_surps_23,3,Strongly Agree
cap17,sx_surps_23,999,Missing
cap17,know_alc_01,0,TRUE
cap17,know_alc_01,1,FALSE
cap17,know_alc_01,2,Don't Know
cap17,know_alc_02,0,TRUE
cap17,know_alc_02,1,FALSE
cap17,know_alc_02,2,Don't Know
cap17,know_alc_03,0,TRUE
cap17,know_alc_03,1,FALSE
cap17,know_alc_03,2,Don't Know
cap17,know_alc_04,0,TRUE
cap17,know_alc_04,1,FALSE
cap17,know_alc_04,2,Don't Know
cap17,know_alc_05,0,TRUE
cap17,know_alc_05,1,FALSE
cap17,know_alc_05,2,Don't Know
cap17,know_alc_06,0,TRUE
cap17,know_alc_06,1,FALSE
cap17,know_alc_06,2,Don't Know
cap17,know_alc_07,0,TRUE
cap17,know_alc_07,1,FALSE
cap17,know_alc_07,2,Don't Know
cap17,know_alc_08,0,TRUE
cap17,know_alc_08,1,FALSE
cap17,know_alc_08,2,Don't Know
cap17,know_alc_09,0,TRUE
cap17,know_alc_09,1,FALSE
cap17,know_alc_09,2,Don't Know
cap17,know_alc_10,0,TRUE
cap17,know_alc_10,1,FALSE
cap17,know_alc_10,2,Don't Know
cap17,know_alc_11,0,TRUE
cap17,know_alc_11,1,FALSE
cap17,know_alc_11,2,Don't Know
cap17,know_alc_12,0,TRUE
cap17,know_alc_12,1,FALSE
cap17,know_alc_12,2,Don't Know
cap17,know_alc_13,0,TRUE
cap17,know_alc_13,1,FALSE
cap17,know_alc_13,2,Don't Know
cap17,know_alc_14,0,TRUE
cap17,know_alc_14,1,FALSE
cap17,know_alc_14,2,Don't Know
cap17,know_alc_15,0,TRUE
cap17,know_alc_15,1,FALSE
cap17,know_alc_15,2,Don't Know
cap17,know_alc_16,0,TRUE
cap17,know_alc_16,1,FALSE
cap17,know_alc_16,2,Don't Know
cap17,sub_alc_sip_age,0,Never
cap17,sub_alc_sip_age,1,Age 10 or below
cap17,sub_alc_sip_age,2,Age 11
cap17,sub_alc_sip_age,3,Age 12
cap17,sub_alc_sip_age,4,Age 13
cap17,sub_alc_sip_age,5,Age 14
cap17,sub_alc_sip_age,6,Age 15 or above
cap17,sub_alc_full_age,0,Never
cap17,sub_alc_full_age,1,Age 10 or below
cap17,sub_alc_full_age,2,Age 11
cap17,sub_alc_full_age,3,Age 12
cap17,sub_alc_full_age,4,Age 13
cap17,sub_alc_full_age,5,Age 14
cap17,sub_alc_full_age,6,Age 15 or above
cap17,sub_alc_drunk_age,0,Never
cap17,sub_alc_drunk_age,1,Age 10 or below
cap17,sub_alc_drunk_age,2,Age 11
cap17,sub_alc_drunk_age,3,Age 12
cap17,sub_alc_drunk_age,4,Age 13
cap17,sub_alc_drunk_age,5,Age 14
cap17,sub_alc_drunk_age,6,Age 15 or above
cap17,sub_alc_binge_age,0,Never
cap17,sub_alc_binge_age,1,Age 10 or below
cap17,sub_alc_binge_age,2,Age 11
cap17,sub_alc_binge_age,3,Age 12
cap17,sub_alc_binge_age,4,Age 13
cap17,sub_alc_binge_age,5,Age 14
cap17,sub_alc_binge_age,6,Age 15 or above
cap17,sub_alc_sup_6m,0,Yes
cap17,sub_alc_sup_6m,1,No
cap17,sub_alc_full_6m,0,Yes
cap17,sub_alc_full_6m,1,No
cap17,sub_alc_full_6m_freq,0,Never
cap17,sub_alc_full_6m_freq,1,Less than monthly
cap17,sub_alc_full_6m_freq,2,Once a month
cap17,sub_alc_full_6m_freq,3,2-3 times a month
cap17,sub_alc_full_6m_freq,4,Weekly
